frame,time_s,left_fppa,right_fppa,pelvis_y,visibility_check,left_alignment,right_alignment,left_alignment_index,right_alignment_index,left_signed_deviation_percent,right_signed_deviation_percent,left_knee_deviation_percent,right_knee_deviation_percent,pelvis_velocity
0,0.0,179.30396779791457,178.06430026354852,0.4021591395139694,OK,neutral,neutral,-0.003017609202159785,-0.008426966447208707,-0.3017609202159785,-0.8426966447208707,0.3017609202159785,0.8426966447208707,0.002226078376664851
1,0.0437016487121582,179.32749406890585,178.07683758674307,0.4024195075035095,OK,neutral,neutral,-0.0029138491782621577,-0.008372224894212445,-0.2913849178262158,-0.8372224894212444,0.2913849178262158,0.8372224894212444,0.0028016824045966615
2,0.06931591033935547,179.30713298173933,178.1254982235699,0.402757853269577,OK,neutral,neutral,-0.0030027430677582395,-0.008160319012355333,-0.30027430677582395,-0.8160319012355333,0.30027430677582395,0.8160319012355333,0.002636133674842611
3,0.11601376533508301,179.2934999283578,178.1653693073008,0.40301327407360077,OK,neutral,neutral,-0.0030622003470851984,-0.007986721938100162,-0.30622003470851983,-0.7986721938100162,0.30622003470851983,0.7986721938100162,0.001743045455740777
4,0.161879301071167,179.33618611091921,178.22594944657166,0.40284012258052826,OK,neutral,neutral,-0.002876672124880046,-0.007722402492825437,-0.2876672124880046,-0.7722402492825438,0.2876672124880046,0.7722402492825438,0.001255054913372966
5,0.19384264945983887,179.3703628843637,178.26198101157175,0.40272197127342224,OK,neutral,neutral,-0.002728176176432434,-0.007565211911616899,-0.2728176176432434,-0.7565211911616899,0.2728176176432434,0.7565211911616899,9.138998228497286e-05
6,0.23092222213745117,179.53667148606993,178.27008130839982,0.4027211368083954,OK,neutral,neutral,-0.002007604329049482,-0.00753100505960843,-0.20076043290494822,-0.753100505960843,0.20076043290494822,0.753100505960843,-0.0011117873231416553
7,0.27775001525878906,179.63801590824897,178.2668293158726,0.40272626280784607,OK,neutral,neutral,-0.0015684428621724072,-0.007545583376355509,-0.15684428621724072,-0.7545583376355509,0.15684428621724072,0.7545583376355509,-0.0008305729373887516
8,0.31653857231140137,179.6003250261392,178.2489739854874,0.4026205837726593,OK,neutral,neutral,-0.001731928343596818,-0.007623043074837416,-0.1731928343596818,-0.7623043074837416,0.1731928343596818,0.7623043074837416,0.0002706416806370626
9,0.3529965877532959,179.56980590799057,178.23251088634322,0.4025384932756424,OK,neutral,neutral,-0.0018642668564235073,-0.0076945196842013504,-0.18642668564235074,-0.7694519684201351,0.18642668564235074,0.7694519684201351,0.000701893961740474
10,0.38839006423950195,179.49608448031015,178.2048753450417,0.4025384485721588,OK,neutral,neutral,-0.0021831381242406515,-0.007810851375748162,-0.21831381242406514,-0.7810851375748162,0.21831381242406514,0.7810851375748162,0.00045796775656925526
11,0.47885918617248535,179.52163760283875,178.21644402321462,0.4027535915374756,OK,neutral,neutral,-0.002072125688272083,-0.00775936183121318,-0.20721256882720832,-0.775936183121318,0.20721256882720832,0.775936183121318,0.0007374180087840188
12,0.5097784996032715,179.54244879808724,178.2257165616828,0.40293240547180176,OK,neutral,neutral,-0.001981823546999884,-0.007718096962415385,-0.1981823546999884,-0.7718096962415385,0.1981823546999884,0.7718096962415385,0.001196908267713681
13,0.539154052734375,179.56414823922591,178.16702827730418,0.40286552906036377,OK,neutral,neutral,-0.0018879628918831895,-0.007973497038414705,-0.18879628918831895,-0.7973497038414705,0.18879628918831895,0.7973497038414705,0.0012573036432925733
