repetition,duration_s,descent_duration_s,ascent_duration_s,left_alignment_at_bottom,right_alignment_at_bottom,left_deviation_at_bottom_percent,right_deviation_at_bottom_percent,left_max_deviation_percent,right_max_deviation_percent,left_fppa_at_bottom_deg,right_fppa_at_bottom_deg,pelvis_amplitude,quality_percent,left_peak_deviation_percent,left_peak_deviation_direction,left_peak_deviation_time_from_start_s,left_peak_deviation_cycle_percent,left_peak_deviation_phase,right_peak_deviation_percent,right_peak_deviation_direction,right_peak_deviation_time_from_start_s,right_peak_deviation_cycle_percent,right_peak_deviation_phase,mean_descent_velocity,peak_descent_velocity,mean_ascent_velocity,peak_ascent_velocity,velocity_unit,frontal_amplitude_difference_percent,frontal_amplitude_asymmetry_index_percent,greater_deviation_side,frontal_peak_timing_difference_s,frontal_peak_timing_difference_cycle_percent,earlier_peak_side,bilateral_peak_pattern
1,1.76,0.93,0.83,varus,varus,24.5,15.36,24.5,15.36,127.8,145.8,0.116,100.0,24.5,varus,0.93,52.9,ascent,15.36,varus,0.93,52.9,ascent,0.1157,0.1806,0.1322,0.1898,normalized_coordinate_per_second,9.14,45.9,left,0.0,0.0,simultaneous,bilateral_varus
2,1.53,0.87,0.66,varus,varus,20.52,12.75,20.52,12.75,135.4,151.4,0.103,100.0,20.52,varus,0.87,56.7,descent,12.75,varus,0.87,56.7,descent,0.1104,0.1673,0.1458,0.2183,normalized_coordinate_per_second,7.77,46.7,left,0.0,0.0,simultaneous,bilateral_varus
3,1.65,0.87,0.78,varus,varus,23.78,15.03,23.8,15.37,129.1,146.5,0.118,100.0,23.8,varus,0.82,49.7,descent,15.37,varus,0.82,49.7,descent,0.1267,0.1927,0.1432,0.1964,normalized_coordinate_per_second,8.43,43.0,left,0.0,0.0,simultaneous,bilateral_varus
4,1.7,0.98,0.72,neutral,valgus,1.05,-16.4,2.78,16.85,177.4,141.9,0.103,100.0,2.78,varus,1.53,90.2,ascent,16.85,valgus,0.86,50.4,descent,0.0984,0.1615,0.1334,0.1881,normalized_coordinate_per_second,14.07,143.4,right,0.67,39.8,right,left_varus_right_valgus
5,1.59,0.88,0.71,valgus,valgus,-7.77,-6.99,7.93,7.13,161.0,163.3,0.104,100.0,7.93,valgus,1.1,69.0,ascent,7.13,valgus,0.93,58.6,ascent,0.112,0.1811,0.1372,0.2279,normalized_coordinate_per_second,0.8,10.6,left,0.17,10.4,right,bilateral_valgus
6,1.57,0.76,0.81,valgus,valgus,-6.94,-8.85,6.94,9.09,162.7,158.8,0.106,100.0,6.94,valgus,0.76,48.7,ascent,9.09,valgus,0.87,55.3,ascent,0.1314,0.2046,0.1197,0.209,normalized_coordinate_per_second,2.15,26.8,right,0.11,6.6,left,bilateral_valgus
7,1.39,0.67,0.72,varus,varus,16.54,11.28,16.85,11.68,143.4,154.6,0.088,100.0,16.85,varus,0.73,52.2,ascent,11.68,varus,0.78,56.0,ascent,0.1251,0.177,0.1131,0.1636,normalized_coordinate_per_second,5.17,36.2,left,0.05,3.8,left,bilateral_varus
8,1.46,0.73,0.73,varus,varus,17.66,14.19,17.66,14.19,141.1,148.3,0.099,100.0,17.66,varus,0.73,49.9,descent,14.19,varus,0.73,49.9,descent,0.1274,0.1809,0.1273,0.1896,normalized_coordinate_per_second,3.47,21.8,left,0.0,0.0,simultaneous,bilateral_varus
9,3.5,2.45,1.05,neutral,valgus,-0.32,-16.92,16.7,16.92,179.3,141.8,0.148,100.0,16.7,varus,1.61,46.1,descent,16.92,valgus,2.45,70.0,descent,0.0575,0.0903,0.1397,0.2599,normalized_coordinate_per_second,0.22,1.3,right,0.84,23.9,left,left_varus_right_valgus
10,1.8,0.9,0.9,varus,neutral,17.7,1.23,23.11,16.71,141.0,177.2,0.145,100.0,23.11,varus,0.73,40.8,descent,16.71,valgus,1.13,62.7,ascent,0.1538,0.2415,0.1562,0.288,normalized_coordinate_per_second,6.4,32.1,left,0.4,21.9,left,left_varus_right_valgus
