rep_id,start_frame,bottom_frame,end_frame,start_time_s,bottom_time_s,end_time_s,duration_s,pelvis_amplitude,movement_threshold,descent_duration_s,ascent_duration_s,left_min_fppa,right_min_fppa,left_fppa_at_bottom,right_fppa_at_bottom,left_peak_deviation_percent,left_peak_signed_deviation_percent,left_peak_deviation_direction,left_peak_deviation_time_s,left_peak_deviation_time_from_start_s,left_peak_deviation_cycle_percent,left_peak_deviation_phase,right_peak_deviation_percent,right_peak_signed_deviation_percent,right_peak_deviation_direction,right_peak_deviation_time_s,right_peak_deviation_time_from_start_s,right_peak_deviation_cycle_percent,right_peak_deviation_phase,left_alignment_at_bottom,right_alignment_at_bottom,left_signed_deviation_percent_at_bottom,right_signed_deviation_percent_at_bottom,left_knee_deviation_percent_at_bottom,right_knee_deviation_percent_at_bottom,left_peak_valgus_percent,right_peak_valgus_percent,left_peak_varus_percent,right_peak_varus_percent,left_max_deviation_percent,right_max_deviation_percent,frontal_amplitude_difference_percent,frontal_amplitude_asymmetry_index_percent,greater_deviation_side,frontal_peak_timing_difference_s,earlier_peak_side,frontal_peak_timing_difference_cycle_percent,bilateral_peak_pattern,mean_descent_velocity,mean_ascent_velocity,peak_descent_velocity,peak_ascent_velocity,velocity_unit,pelvis_y_at_bottom,quality_percent
1,44,61,76,2.44,3.37,4.2,1.76,0.116,0.4333,0.93,0.83,127.8,145.8,127.8,145.8,24.5,24.5,varus,3.37,0.93,52.9,ascent,15.36,15.36,varus,3.37,0.93,52.9,ascent,varus,varus,24.5,15.36,24.5,15.36,2.16,-0.11,24.5,15.36,24.5,15.36,9.14,45.9,left,0.0,simultaneous,0.0,bilateral_varus,0.1157,0.1322,0.1806,0.1898,normalized_coordinate_per_second,0.543,100.0
2,93,109,121,5.13,6.0,6.66,1.53,0.103,0.4325,0.87,0.66,135.4,151.4,135.4,151.4,20.52,20.52,varus,6.0,0.87,56.7,descent,12.75,12.75,varus,6.0,0.87,56.7,descent,varus,varus,20.52,12.75,20.52,12.75,1.09,-0.18,20.52,12.75,20.52,12.75,7.77,46.7,left,0.0,simultaneous,0.0,bilateral_varus,0.1104,0.1458,0.1673,0.2183,normalized_coordinate_per_second,0.531,100.0
3,139,155,169,7.65,8.52,9.3,1.65,0.118,0.4334,0.87,0.78,129.1,145.8,129.1,146.5,23.8,23.8,varus,8.47,0.82,49.7,descent,15.37,15.37,varus,8.47,0.82,49.7,descent,varus,varus,23.78,15.03,23.78,15.03,2.36,0.25,23.8,15.37,23.8,15.37,8.43,43.0,left,0.0,simultaneous,0.0,bilateral_varus,0.1267,0.1432,0.1927,0.1964,normalized_coordinate_per_second,0.545,100.0
4,192,210,223,10.54,11.52,12.24,1.7,0.103,0.4326,0.98,0.72,173.6,141.1,177.4,141.9,2.78,2.78,varus,12.07,1.53,90.2,ascent,16.85,-16.85,valgus,11.4,0.86,50.4,descent,neutral,valgus,1.05,-16.4,1.05,16.4,0.66,-16.85,2.78,-0.18,2.78,16.85,14.07,143.4,right,0.67,right,39.8,left_varus_right_valgus,0.0984,0.1334,0.1615,0.1881,normalized_coordinate_per_second,0.531,100.0
5,239,255,268,13.12,14.0,14.71,1.59,0.104,0.4327,0.88,0.71,160.8,162.9,161.0,163.3,7.93,-7.93,valgus,14.22,1.1,69.0,ascent,7.13,-7.13,valgus,14.05,0.93,58.6,ascent,valgus,valgus,-7.77,-6.99,7.77,6.99,-7.93,-7.13,0.73,0.39,7.93,7.13,0.8,10.6,left,0.17,right,10.4,bilateral_valgus,0.112,0.1372,0.1811,0.2279,normalized_coordinate_per_second,0.531,100.0
6,291,305,320,15.99,16.75,17.56,1.57,0.106,0.4327,0.76,0.81,162.7,158.1,162.7,158.8,6.94,-6.94,valgus,16.75,0.76,48.7,ascent,9.09,-9.09,valgus,16.86,0.87,55.3,ascent,valgus,valgus,-6.94,-8.85,6.94,8.85,-6.94,-9.09,0.53,-0.37,6.94,9.09,2.15,26.8,right,0.11,left,6.6,bilateral_valgus,0.1314,0.1197,0.2046,0.209,normalized_coordinate_per_second,0.534,100.0
7,336,348,361,18.45,19.12,19.84,1.39,0.088,0.4318,0.67,0.72,142.7,153.7,143.4,154.6,16.85,16.85,varus,19.18,0.73,52.2,ascent,11.68,11.68,varus,19.23,0.78,56.0,ascent,varus,varus,16.54,11.28,16.54,11.28,1.58,-0.26,16.85,11.68,16.85,11.68,5.17,36.2,left,0.05,left,3.8,bilateral_varus,0.1251,0.1131,0.177,0.1636,normalized_coordinate_per_second,0.516,100.0
8,378,391,404,20.8,21.53,22.26,1.46,0.099,0.4323,0.73,0.73,141.1,148.3,141.1,148.3,17.66,17.66,varus,21.53,0.73,49.9,descent,14.19,14.19,varus,21.53,0.73,49.9,descent,varus,varus,17.66,14.19,17.66,14.19,1.26,-0.48,17.66,14.19,17.66,14.19,3.47,21.8,left,0.0,simultaneous,0.0,bilateral_varus,0.1274,0.1273,0.1809,0.1896,normalized_coordinate_per_second,0.526,100.0
9,435,479,498,23.99,26.44,27.49,3.5,0.148,0.4349,2.45,1.05,142.7,141.8,179.3,141.8,16.7,16.7,varus,25.6,1.61,46.1,descent,16.92,-16.92,valgus,26.44,2.45,70.0,descent,neutral,valgus,-0.32,-16.92,0.32,16.92,-2.11,-16.92,16.7,12.96,16.7,16.92,0.22,1.3,right,0.84,left,23.9,left_varus_right_valgus,0.0575,0.1397,0.0903,0.2599,normalized_coordinate_per_second,0.575,100.0
10,519,535,551,28.65,29.55,30.45,1.8,0.145,0.4347,0.9,0.9,130.4,142.7,141.0,177.2,23.11,23.11,varus,29.38,0.73,40.8,descent,16.71,-16.71,valgus,29.78,1.13,62.7,ascent,varus,neutral,17.7,1.23,17.7,1.23,-2.24,-16.71,23.11,14.12,23.11,16.71,6.4,32.1,left,0.4,left,21.9,left_varus_right_valgus,0.1538,0.1562,0.2415,0.288,normalized_coordinate_per_second,0.573,100.0
