frame,time_s,side,facing_direction,knee_internal_angle_deg,knee_flexion_deg,hip_internal_angle_deg,hip_flexion_deg,trunk_flexion_deg,ankle_internal_angle_deg,ankle_dorsiflexion_deg,foot_inclination_deg,foot_inclination_relative_deg,visibility,visibility_min
0,0.0,left,left,178.0113881556181,-1.988611844381893,171.58884608020148,-8.411153919798522,-5.759637761157612,92.4917769103002,0.8825102625175845,3.154681224559198,-1.1610587049166838,OK,0.8336204290390015
1,0.06503105163574219,left,left,177.9575698089584,-2.0424301910416034,171.62430942205987,-8.375690577940134,-5.729468247258839,92.71838689002337,0.6559002827944198,3.322179029663065,-0.9935608998128203,OK,0.8330662846565247
2,0.1264944076538086,left,left,178.08763940922893,-1.9123605907710726,171.64163805033283,-8.35836194966717,-5.736265930137635,92.94974486383269,0.42454230898509593,3.6594802925911623,-0.6562596368847267,OK,0.8341440558433533
3,0.18826794624328613,left,left,178.16089332572372,-1.8391066742762803,171.46954407187718,-8.53045592812282,-5.886043952110427,92.80631751445408,0.5679696583637082,3.611622816190207,-0.7041171132856618,OK,0.8326134085655212
4,0.24988055229187012,left,left,178.21630937247676,-1.7836906275232423,171.37402832021056,-8.625971679789444,-5.972141087339337,92.6499209303815,0.7243662424362896,3.5200608953083554,-0.7956790341675344,OK,0.8310348391532898
5,0.30101799964904785,left,left,178.22960726664928,-1.7703927333507181,171.3380864981555,-8.66191350184451,-5.962490372945036,92.57037088391931,0.8039162888984777,3.4994012794680716,-0.8163386500078218,OK,0.8303107023239136
6,0.35412096977233887,left,left,178.26396374617,-1.736036253830008,171.3280062699505,-8.671993730049508,-5.952726097786683,92.52344005759998,0.8508471152178032,3.5066714360327764,-0.8090684934431067,OK,0.8301244974136353
7,0.40697574615478516,left,left,178.29061308229484,-1.7093869177051602,171.50568017309556,-8.494319826904444,-5.842833543265399,93.10946788139904,0.26481929141874616,4.05156724733294,-0.26417268214294154,OK,0.8309645652770996
8,0.46092748641967773,left,left,178.3674265621401,-1.6325734378598895,171.71352419645729,-8.286475803542714,-5.718663814295243,93.24703635084634,0.12725082197144388,4.182274902233943,-0.13346502724192533,OK,0.8328381776809692
9,0.5188541412353516,left,left,178.43444248105052,-1.5655575189494755,171.85037350978945,-8.14962649021055,-5.639784699638722,93.42571608971616,-0.0514289168983737,4.37000036133852,0.05426043186264451,OK,0.8346090912818909
10,0.5766322612762451,left,left,178.47962498718357,-1.5203750128164302,171.87986178951135,-8.120138210488648,-5.631030808424282,92.85243696808901,0.5218502047287785,3.8211693573369248,-0.4945705721389686,OK,0.8342382907867432
11,0.6325705051422119,left,left,178.49959784897885,-1.5004021510211487,171.89536901104282,-8.104630988957183,-5.626201948859146,92.55598462088088,0.8183025519369096,3.5340115099577547,-0.7817284195181173,OK,0.8342151045799255
12,0.6981277465820312,left,left,178.4285177177321,-1.5714822822679082,171.84682657890625,-8.153173421093754,-5.626910490832924,92.97751974110088,0.39676743171690987,3.9323003890938106,-0.3834395403820565,OK,0.8357186913490295
13,0.7518458366394043,left,left,178.49498807154708,-1.505011928452916,171.98324196556143,-8.016758034438567,-5.598064701467663,93.55697800757406,-0.18269083475627212,4.470659412092077,0.15491948261620792,OK,0.8366256356239319
14,0.8144571781158447,left,left,178.5419946548818,-1.4580053451182096,172.0793058128335,-7.920694187166504,-5.576388058831674,93.9011385798086,-0.526851406990815,4.787439363025214,0.4716994335493325,OK,0.8373076319694519
15,0.870872974395752,left,left,178.5324813510482,-1.4675186489517955,171.99082831957585,-8.009171680424146,-5.6775436628854985,93.8863561760024,-0.5120690031846067,4.750465544589242,0.43472561511336494,OK,0.8347991704940796
