frame,time_s,side,facing_direction,knee_internal_angle_deg,knee_flexion_deg,hip_internal_angle_deg,hip_flexion_deg,trunk_flexion_deg,ankle_internal_angle_deg,ankle_dorsiflexion_deg,foot_inclination_deg,foot_inclination_relative_deg,visibility,visibility_min,lowest_visibility_marker,shoulder_visibility,hip_visibility,knee_visibility,ankle_visibility,heel_visibility,foot_index_visibility
0,0.0,left,left,177.42640047746085,2.573599522539155,177.2357072155523,-2.76429278444769,-2.8236314845633856,94.47490023884602,-0.10152244124073206,6.98916106126948,-0.13933174327959819,OK,0.9000217318534851,heel,0.9999963045120239,0.9991588592529297,0.9258294105529785,0.9410166144371033,0.9000217318534851,0.9331501722335815
1,0.05378103256225586,left,left,177.45762161499366,2.5423783850063444,177.2461863573713,-2.7538136426286997,-2.8188296337054792,94.50865835218377,-0.1352805545784861,6.986020746113336,-0.14247205843574307,OK,0.8988066911697388,heel,0.9999962449073792,0.9991415143013,0.9268802404403687,0.939581573009491,0.8988066911697388,0.9311307072639465
2,0.11006546020507812,left,left,177.39240054786796,2.6075994521320354,177.19724206289638,-2.802757937103621,-2.88431327543291,94.5808453392969,-0.20746754169161363,7.106889453099678,-0.021603351449385855,OK,0.8999156355857849,heel,0.9999962449073792,0.9991499185562134,0.9267418384552002,0.939907968044281,0.8999156355857849,0.9317622780799866
3,0.16445398330688477,left,left,177.34874477605567,2.6512552239443323,177.15874601933004,-2.8412539806699613,-2.9369235243874554,94.56119125056581,-0.1878134529605262,7.116776930792686,-0.011715873756401152,OK,0.900638222694397,heel,0.9999962449073792,0.9991554617881775,0.9268296957015991,0.9398702383041382,0.900638222694397,0.931975245475769
4,0.22366118431091309,left,left,177.43557993865215,2.564420061347846,177.27424608649235,-2.7257539135076456,-2.764122119497228,94.48186546380991,-0.10848766620462413,7.0079173191681985,-0.12057548538086849,OK,0.900797426700592,heel,0.9999959468841553,0.9990907907485962,0.9250059127807617,0.9399405717849731,0.900797426700592,0.931838870048523
5,0.27878618240356445,left,left,177.68976100294145,2.3102389970585477,177.07808379886018,-2.9219162011398225,-2.7249924522704045,94.07461953216747,0.2987582654378116,6.5817822780954405,-0.5467105264536372,OK,0.9012466073036194,heel,0.9999957084655762,0.9990167617797852,0.923598051071167,0.9400879740715027,0.9012466073036194,0.9318071007728577
6,0.3430461883544922,left,left,177.83993176414313,2.160068235856869,176.9325525266765,-3.0674474733235115,-2.7219709239896175,93.91393682592754,0.45944097167775055,6.419481611118309,-0.7090111934307686,OK,0.9020638465881348,heel,0.9999955296516418,0.998959481716156,0.9226096868515015,0.9404826760292053,0.9020638465881348,0.9320570230484009
7,0.3964991569519043,left,left,178.24524451055203,1.754755489447973,176.21044780824457,-3.7895521917554333,-3.0275727877002443,93.20620223841672,1.1671755591885642,5.72293713191989,-1.4055556726291911,OK,0.903616726398468,heel,0.9999952912330627,0.9989063143730164,0.9227293133735657,0.9414736032485962,0.903616726398468,0.9329994916915894
8,0.4520738124847412,left,left,178.34221371179066,1.657786288209337,176.15761437570072,-3.8423856242992827,-3.0316254023552216,93.37841110168279,0.9949666959224999,5.846957611836204,-1.2815351927128802,OK,0.9040992259979248,heel,0.9999950528144836,0.9988307356834412,0.9217074513435364,0.9414491057395935,0.9040992259979248,0.9329376816749573
9,0.5102996826171875,left,left,178.44029146361822,1.5597085363817769,176.1205338475098,-3.8794661524902097,-3.024152452488992,93.49841410358417,0.874963694021119,5.913436339967185,-1.2150564645818918,OK,0.9044822454452515,heel,0.9999948143959045,0.998756468296051,0.9207170009613037,0.941295325756073,0.9044822454452515,0.9328145980834961
10,0.571357011795044,left,left,178.55420290683043,1.445797093169574,176.14010431548928,-3.859895684510718,-2.9175301207447815,93.05264822709798,1.3207295705073108,5.4408108840335,-1.6876819205155869,OK,0.9071114659309387,heel,0.9999945759773254,0.99870765209198,0.9213464260101318,0.9428716897964478,0.9071114659309387,0.9344155788421631
11,0.6275594234466553,left,left,178.62313737131916,1.3768626286808399,176.13815873611478,-3.861841263885225,-2.8713498245580835,92.78066737682941,1.592710420775873,5.148021444837413,-1.9804713597116574,OK,0.9092870950698853,heel,0.9999943971633911,0.9986651539802551,0.9216530323028564,0.9441272616386414,0.9092870950698853,0.9356843829154968
12,0.6828303337097168,left,left,178.53377625038573,1.4662237496142723,176.39698371885646,-3.603016281143539,-2.6720518472175407,92.70949767222794,1.6638801253773465,5.106685855768228,-2.021806948780835,OK,0.9064022898674011,heel,0.999994158744812,0.9985976815223694,0.9176428914070129,0.9414235949516296,0.9064022898674011,0.9325960874557495
13,0.7400016784667969,left,left,178.76770035340164,1.2322996465983636,176.54258182793558,-3.457418172064422,-2.4729808585895325,93.34085509151745,1.032522706087832,5.557592051590711,-1.5709007529583516,OK,0.905110239982605,heel,0.9999938011169434,0.9985123872756958,0.916645348072052,0.9409943222999573,0.905110239982605,0.9317813515663147
14,0.8087425231933594,left,left,178.89180372687045,1.1081962731295505,176.66668219154113,-3.3333178084588724,-2.335527350936274,93.70348680619482,0.6698909914104689,5.809473536846977,-1.3190192677020889,OK,0.9041299819946289,heel,0.9999935030937195,0.9984374046325684,0.9159174561500549,0.9407726526260376,0.9041299819946289,0.9312166571617126
15,0.8678293228149414,left,left,178.0981212214695,1.901878778530488,177.72925249022794,-2.2707475097720646,-1.8569690454419494,93.39216244614823,0.9812153514570525,5.70781968900882,-1.4206731155402679,OK,0.9070605039596558,heel,0.9999937415122986,0.9984802603721619,0.9176579117774963,0.9424303770065308,0.9070605039596558,0.9333566427230835
16,0.92160964012146,left,left,174.87872021578445,5.121279784215545,178.81074423883413,1.1892557611658674,-0.7765227060985733,92.77757362027792,1.5958041773273663,5.933074937229014,-1.1954178673200602,OK,0.9039378762245178,heel,0.9999939203262329,0.9984948635101318,0.9165478944778442,0.9413524866104126,0.9039378762245178,0.9322266578674316
17,0.9782791137695312,left,left,173.74631588014796,6.253684119852039,177.75118013108207,2.248819868917934,-0.4928816086229985,92.33674391431079,2.036633883294499,5.848726556621893,-1.2797662479271708,OK,0.9006907939910889,heel,0.9999938607215881,0.9984713792800903,0.9147976040840149,0.9397232532501221,0.9006907939910889,0.9304563999176025
18,1.0418095588684082,left,left,167.86965690737688,12.130343092623121,172.30970181045006,7.690298189549935,0.9318706341805525,90.49584121466778,3.877536582937509,5.867756751921512,-1.2607360526275784,OK,0.8997077941894531,heel,0.9999942183494568,0.998528003692627,0.9119779467582703,0.9392439723014832,0.8997077941894531,0.9299471378326416
19,1.107339859008789,left,left,157.87341292494327,22.126587075056733,161.98906558494048,18.010934415059523,3.8858714815874458,88.63699871438523,5.736379083220058,6.638522855969878,-0.4899699485791871,OK,0.9023313522338867,heel,0.9999940991401672,0.99858558177948,0.911044716835022,0.9392874836921692,0.9023313522338867,0.9299330711364746
