frame,time_s,side,facing_direction,knee_internal_angle_deg,knee_flexion_deg,hip_internal_angle_deg,hip_flexion_deg,trunk_flexion_deg,ankle_internal_angle_deg,ankle_dorsiflexion_deg,foot_inclination_deg,foot_inclination_relative_deg,visibility,visibility_min,lowest_visibility_marker,shoulder_visibility,hip_visibility,knee_visibility,ankle_visibility,heel_visibility,foot_index_visibility,quality_valid,knee_flexion_relative_deg,hip_flexion_relative_deg,trunk_flexion_relative_deg,knee_flexion_interpolated_deg,knee_flexion_filtered_deg,knee_flexion_was_interpolated,hip_flexion_interpolated_deg,hip_flexion_filtered_deg,hip_flexion_was_interpolated,trunk_flexion_interpolated_deg,trunk_flexion_filtered_deg,trunk_flexion_was_interpolated,ankle_dorsiflexion_interpolated_deg,ankle_dorsiflexion_filtered_deg,ankle_dorsiflexion_was_interpolated,foot_inclination_interpolated_deg,foot_inclination_filtered_deg,foot_inclination_was_interpolated,any_signal_was_interpolated,knee_angular_velocity_deg_s,signal_processing_valid
0,0.0,left,left,178.04083089548607,1.9591691045139328,177.74034984355717,-2.259650156442831,-2.687784705086976,87.29660856417998,2.9860986112682326,-1.1723568799502198,-3.0161353580199375,OK,0.8676906228065491,foot_index,0.9999960660934448,0.9989389777183533,0.9202548265457153,0.8859126567840576,0.8716710805892944,0.8676906228065491,True,0.009825176691523607,0.3556126020873185,0.315750678644084,0.009825176691523607,-0.25716328163409935,False,0.3556126020873185,0.19395120787703402,False,0.315750678644084,0.28498330763506025,False,2.9860986112682326,1.8164635182697044,False,-3.0161353580199375,-1.9825947001457773,False,False,-1.7032561078730761,True
1,0.04768538475036621,left,left,178.34207612316698,1.6579238768330242,177.55930794124225,-2.4406920587577474,-2.72246296484524,88.18169674946694,2.101010425981272,-0.4421502797875313,-2.285928757857249,OK,0.8721058368682861,foot_index,0.9999961256980896,0.9989613890647888,0.9242093563079834,0.8901501893997192,0.8768822550773621,0.8721058368682861,True,-0.29142005098938495,0.17457069977240192,0.28107241888582024,-0.29142005098938495,-0.3405851584389741,False,0.17457069977240192,0.14108202194912334,False,0.28107241888582024,0.2756324462503724,False,2.101010425981272,1.2494277048926392,False,-2.285928757857249,-1.455462439030363,False,False,-1.8244920878543716,True
2,0.103363037109375,left,left,178.54055104278203,1.4594489572179725,177.43640756324123,-2.5635924367587677,-2.7454085583557837,89.9204256578886,0.3622815175596088,1.1980584935095706,-0.6457199845601451,OK,0.8708906173706055,foot_index,0.9999960064888,0.9989691376686096,0.9238086938858032,0.8892351984977722,0.8755290508270264,0.8708906173706055,True,-0.48989497060443665,0.051670321771381644,0.2581268253752764,-0.48989497060443665,-0.40111719246299093,False,0.051670321771381644,0.1036311281776241,False,0.2581268253752764,0.2702889738455405,False,0.3622815175596088,0.9382431555731984,False,-0.6457199845601451,-1.17270250236827,False,False,-1.690856822447384,True
3,0.15496563911437988,left,left,178.6415068610312,1.3584931389688109,177.36721170563524,-2.632788294364758,-2.755955521634751,90.73438691068677,-0.45167973523855665,1.9697128223855935,0.1259343443158798,OK,0.8697748780250549,foot_index,0.9999958276748657,0.9989733695983887,0.9237251281738281,0.8884972333908081,0.8744845390319824,0.8697748780250549,True,-0.5908507888535983,-0.017525535834608696,0.247579862096309,-0.5908507888535983,-0.539670007376859,False,-0.017525535834608696,0.019382751203266047,False,0.247579862096309,0.2574777651024959,False,-0.45167973523855665,0.2936068795471584,False,0.1259343443158798,-0.5951818730247851,False,False,-1.4279872060067542,True
4,0.21544551849365234,left,left,178.69390140073665,1.3060985992633505,177.33856479456148,-2.661435205438522,-2.754620299504847,90.58920221715277,-0.3064950417045651,1.802115722349817,-0.04166275571989786,OK,0.8731410503387451,foot_index,0.999995768070221,0.9989814162254333,0.9273197650909424,0.8919576406478882,0.8781519532203674,0.8731410503387451,True,-0.6432453285590587,-0.046172446908372855,0.2489150842262129,-0.6432453285590587,-0.6367969840571082,False,-0.046172446908372855,-0.05114193811939547,False,0.2489150842262129,0.2268037748688771,False,-0.3064950417045651,-0.009989757633550766,False,-0.04166275571989786,-0.34886151343528127,False,False,-1.1717815298975753,True
5,0.2743499279022217,left,left,178.7335949700554,1.2664050299445933,177.31910795868538,-2.680892041314621,-2.751840748802199,90.51978994431018,-0.237082768861967,1.7152462667672066,-0.12853221130251313,OK,0.8759276270866394,foot_index,0.9999957084655762,0.9989858865737915,0.9303568601608276,0.8948348164558411,0.8812375664710999,0.8759276270866394,True,-0.6829388978778159,-0.06562928278447178,0.2516946349288611,-0.6829388978778159,-0.6791142242516603,False,-0.06562928278447178,-0.10652449220351148,False,0.2516946349288611,0.19580217835911115,False,-0.237082768861967,-0.04577380263171449,False,-0.12853221130251313,-0.33101375105732134,False,False,-0.7846038750456682,True
6,0.31436657905578613,left,left,178.82771100656822,1.1722889934317777,177.20668449462895,-2.793315505371055,-2.875832916013334,89.69967993537048,0.5830272400777261,0.7894515181599753,-1.05432695990973,OK,0.8727798461914062,foot_index,0.9999957084655762,0.9989749789237976,0.9285773634910583,0.8918660879135132,0.8783798813819885,0.8727798461914062,True,-0.7770549343906314,-0.17805274684090566,0.1277024677177261,-0.7770549343906314,-0.6888220067784492,False,-0.17805274684090566,-0.15293621216832295,False,0.1277024677177261,0.16364018136064837,False,0.5830272400777261,0.020676196024402314,False,-1.05432695990973,-0.3929218092738779,False,False,-0.32925295811169075,True
7,0.37578868865966797,left,left,178.7521372437548,1.2478627562452118,177.15949479282065,-2.8405052071793477,-2.9004165409046134,90.09934588287942,0.1833612925687902,1.2872973053993757,-0.5564811726703454,OK,0.8730477094650269,foot_index,0.999995768070221,0.9989557266235352,0.9286048412322998,0.892134964466095,0.8783584833145142,0.8730477094650269,True,-0.7014811715771974,-0.2252424486491984,0.10311884282644668,-0.7014811715771974,-0.6913111041929573,False,-0.2252424486491984,-0.2082581925229258,False,0.10311884282644668,0.11178185321485774,False,0.1833612925687902,0.08226961982548175,False,-0.5564811726703454,-0.4535406782806547,False,False,-0.14391918391157787,True
8,0.4240281581878662,left,left,178.69004577366513,1.3099542263348667,177.13515310581118,-2.8648468941888154,-2.916765506627065,90.40213691740618,-0.11942974195797262,1.660172531302822,-0.18360594676690312,OK,0.8727135062217712,foot_index,0.999995768070221,0.9989389777183533,0.9282107353210449,0.8918127417564392,0.8777114748954773,0.8727135062217712,True,-0.6393897014875425,-0.2495841356586661,0.08676987710399509,-0.6393897014875425,-0.6881006600448959,False,-0.2495841356586661,-0.2686699622132446,False,0.08676987710399509,0.04442017451395719,False,-0.11942974195797262,0.14161314985802848,False,-0.18360594676690312,-0.5166236731757238,False,False,-0.16962738926753892,True
9,0.4743680953979492,left,left,178.7063468878092,1.2936531121908104,177.06195489278846,-2.9380451072115363,-3.0139119402338004,90.28123509814738,0.0014720773008320975,1.4990213773159307,-0.34475710075378174,OK,0.869973361492157,foot_index,0.9999957084655762,0.9989445209503174,0.9244228005409241,0.8888925909996033,0.8715851306915283,0.869973361492157,True,-0.6556908156315988,-0.322782348681387,-0.010376556502740275,-0.6556908156315988,-0.6824870058237115,False,-0.322782348681387,-0.3188485810806364,False,-0.010376556502740275,-0.0018381277338100689,False,0.0014720773008320975,0.013221579991980547,False,-0.34475710075378174,-0.3786981324688611,False,False,-0.2027079986453204,True
